time;servicename;duration
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;7
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;5
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;7
08:00:08;RS_OW_AgencyDataSupplierService;3
08:00:08;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;4
